name,pname,ra,dec,dist,vmag
HR 6500,,17.51832693,-60.68360667,187.23,3.6
HR 838,,2.8330526,27.26079044,159.49,3.61
HR 1030,,3.413566,9.02906504,211.52,3.61
HR 3994,,10.17649919,-12.35383921,114.68,3.61
HR 4923,,13.03771597,-71.54879865,90.83,3.61
HR 6582,,17.76222289,-64.7237345,371.06,3.61
HR 437,,1.52472051,15.34583101,294.11,3.62
HR 1178,,3.81936977,24.05352412,380.59,3.62
HR 3017,,7.75425108,-37.96859848,1387.93,3.62
HR 6271,,16.90975143,-42.36075916,150.51,3.62
HR 8762,,23.03201291,42.32597866,692.49,3.62
HR 4520,,11.76015759,-66.72884344,128.31,3.63
HR 7882,,20.62579715,14.59520289,97.39,3.64
HR 1346,,4.32987052,15.62770031,154.07,3.65
HR 3757,,9.52543601,63.06179545,75.5,3.65
HR 5867,,15.76978191,15.42192602,153.06,3.65
HR 6743,,18.11052188,-50.09145462,1012.93,3.65
HR 8558,,22.48050015,-0.02006304,103.45,3.65
HR 5747,,15.46384775,29.10549164,114.04,3.66
HR 5812,,15.64427343,-29.77768935,444.97,3.66
HR 5291,,14.07317389,64.37580873,308.87,3.67
HR 7986,,20.91349433,-58.4540947,602.89,3.67
HR 1552,,4.853435,5.60510146,1259.32,3.68
HR 3468,,8.72654096,-33.18641133,844.98,3.68
HR 7536,,19.78979589,18.53425912,448.03,3.68
HR 8812,,23.15743391,-21.17248555,233.64,3.68
HR 153,,0.61618528,53.89693161,597.37,3.69
HR 566,,1.93245347,-51.60958673,57.03,3.69
HR 1612,,5.04130001,41.07588953,787.83,3.69
HR 3884,,9.75411876,-62.50792328,1510.02,3.69
HR 4518,,11.76753725,47.77933701,196.01,3.69
HR 8278,,21.66815062,-16.66225343,138.91,3.69
HR 1003,,3.32526935,-21.7579421,258.24,3.7
HR 6703,,17.96273073,29.24792527,135.23,3.7
HR 8852,,23.28597045,3.28224524,130.88,3.7
HR 1567,,4.90419323,2.44067149,1342.24,3.71
HR 2085,,5.94008841,-14.16803805,49.07,3.71
HR 3080,,7.87029041,-40.57579889,344.78,3.71
HR 5892,,15.84691422,4.4775798,70.31,3.71
HR 6771,,18.12250574,9.56365345,82.78,3.71
HR 7602,,19.92187948,6.40793334,44.71,3.71
HR 1084,,3.549006,-9.45830584,10.5,3.72
HR 1142,,3.7479232,24.1134484,370.64,3.72
HR 2077,,5.99209731,54.28498197,140.47,3.72
HR 8079,,21.08218216,43.92785122,1177.48,3.72
HR 1038,,3.45281136,9.7327724,222.18,3.73
HR 5511,,14.77083106,1.8929383,128.66,3.73
HR 6688,,17.8921193,56.87245216,111.47,3.73
HR 8254,,21.69124253,-77.38946215,69.07,3.73
HR 8698,,22.87690679,-7.57967878,391.55,3.73
HR 539,,1.85766961,-10.33494526,259.07,3.74
HR 6095,,16.36534546,19.15302185,195.42,3.74
HR 8130,,21.24648517,38.04432043,68.24,3.74
HR 3614,,9.0692557,-47.09771376,309.16,3.75
HR 6629,,17.79821501,2.70745875,94.76,3.75
HR 1922,,5.5604212,-62.48985585,1038.74,3.76
HR 2035,,5.85532022,-20.87751376,112.28,3.76
HR 2356,,6.48029836,-7.03305042,691.02,3.76
HR 7217,,19.07803717,-21.74135451,138.85,3.76
HR 7420,,19.49509425,51.72946747,122.48,3.76
HR 8585,,22.52149326,50.28244976,102.37,3.76
HR 834,,2.84494243,55.89552955,1331.28,3.77
HR 1135,,3.75323428,42.57854437,556.59,3.77
